genus,kingdom,phylum,subphylum,infraphylum,superclass,class,subclass,order,family,subfamily,tribe,fgroup1,fgroup2,fgroup3,calcifying
Hypoglossum,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Delesseriaceae,Delesserioideae,Hypoglosseae,filamentous,sheet,,
Iridaea,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Gigartinaceae,,,sheet,,,
Jania,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Corallinophycidae,Corallinales,Corallinaceae,Corallinoideae,Janieae,jointed calcareous,,,yes
Jeannerettia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Pterosiphonieae,sheet,coarsely branched,,
Kallymenia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Kallymeniaceae,,,sheet,,,
Laingia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Delesseriaceae,Delesserioideae,Botryocarpeae,sheet,,,
Laurencia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Laurencieae,thick leathery,coarsely branched,,
Lemanea,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Nemaliophycidae,Batrachospermales,Lemaneaceae,,,filamentous,,,
Lenormandia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Amansieae,,,,
Liagora,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Nemaliophycidae,Nemaliales,Liagoraceae,,,coarsely branched,filamentous,,
Liagoropsis,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Nemaliophycidae,Nemaliales,Liagoraceae,,,filamentous,,,
Lithothamnion,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Corallinophycidae,Hapalidiales,Hapalidiaceae,Melobesioideae,,crust calcifier,,,yes
Lomentaria,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Rhodymeniales,Lomentariaceae,,,filamentous,coarsely branched,,
Lophocladia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,,filamentous,,,
Martensia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Delesseriaceae,Nitophylloideae,Martensieae,,,,
Mastocarpus,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Phyllophoraceae,,,thick leathery,sheet,,
Mastophoropsis,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Corallinophycidae,Hapalidiales,Hapalidiaceae,,,,,,
Mazzaella,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Gigartinaceae,,,sheet,thick leathery,,
Membranoptera,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Delesseriaceae,Delesserioideae,Membranoptereae,filamentous,coarsely branched,,
Metamastophora,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Corallinophycidae,Corallinales,Corallinaceae,Mastophoroideae,,jointed calcareous,,,yes
Microcladia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Ceramiaceae,Ceramioideae,Ceramieae,filamentous,,,
Mychodea,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Mychodeaceae,,,,,,
Myriogramme,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Delesseriaceae,Phycodryoideae,Myriogrammeae,coarsely branched,sheet,,
Neogoniolithon,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Corallinophycidae,Corallinales,Corallinaceae,Neogoniolithoideae,,crust calcifier,,,yes
Neorhodomela,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,,coarsely branched,,,
Neuroglossum,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Delesseriaceae,Phycodryoideae,Schizoserideae,coarsely branched,sheet,,
Nitophyllum,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Delesseriaceae,Nitophylloideae,Nitophylleae,sheet,,,
Nothogenia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Nemaliophycidae,Nemaliales,Scinaiaceae,,,thick leathery,sheet,,
Odonthalia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,,coarsely branched,thick leathery,sheet,
Opuntiella,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Furcellariaceae,,,sheet,thick leathery,,
Osmundaria,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Amansieae,thick leathery,coarsely branched,,
Osmundea,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Laurencieae,thick leathery,,,
Pachymenia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Halymeniales,Halymeniaceae,,,coarsely branched,thick leathery,sheet,
Palisada,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Laurencieae,,,,
Palmaria,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Nemaliophycidae,Palmariales,Palmariaceae,,,sheet,,,
Parviphycus,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gelidiales,Gelidiellaceae,,,,,,
Peyssonnelia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Peyssonnaliales,Peyssonneliaceae,,,thick leathery,crust,,
Phacelocarpus,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,,Gigartinales,Phacelocarpaceae,,,coarsely branched,,,
Phycodrys,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Delesseriaceae,Phycodryoideae,Phycodryeae,sheet,coarsely branched,,
Phyllophora,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Phyllophoraceae,,,sheet,coarsely branched,,
